filename,num_loops,num_branch_points,num_tubulars
corrected_001.tif,9,16,32
corrected_002.tif,11,22,43
corrected_003.tif,7,11,35
corrected_004.tif,7,16,33
corrected_005.tif,9,18,22
corrected_006.tif,6,14,17
corrected_007.tif,0,2,7
corrected_008.tif,0,3,8
corrected_009.tif,2,3,11
corrected_010.tif,2,3,4
corrected_041.tif,7,17,37
corrected_042.tif,5,12,32
corrected_043.tif,11,19,41
corrected_044.tif,4,8,19
corrected_045.tif,1,3,10
corrected_100.tif,11,22,43
corrected_101.tif,7,11,35
corrected_107.tif,16,27,48
corrected_108.tif,20,30,54
corrected_110.tif,16,29,48
corrected_120.tif,8,17,33
corrected_125.tif,13,24,41
corrected_127.tif,15,28,47
corrected_129.tif,13,25,46
corrected_150.tif,16,29,47
corrected_151.tif,16,29,46
corrected_152.tif,17,25,46
corrected_153.tif,15,27,46
corrected_154.tif,0,3,20
corrected_155.tif,2,7,25
corrected_156.tif,4,10,30
corrected_157.tif,5,14,33
corrected_158.tif,7,14,29
corrected_159.tif,7,14,26
corrected_160.tif,8,16,38
corrected_161.tif,6,13,34
corrected_162.tif,4,12,29
corrected_170.tif,10,20,37
corrected_171.tif,6,12,34
corrected_172.tif,8,13,39
